feature,importance,source
precipitation_in,0.21417978250064063,sklearn
event_score,0.1663167979535803,sklearn
is_snowy,0.11707472185843518,sklearn
snowfall_in,0.10866556495688923,sklearn
is_weekend,0.07926763631425957,sklearn
temperature_f,0.04995284497057683,sklearn
temp_deviation_comfort,0.03764918624242684,sklearn
crime_count,0.03510546723299004,sklearn
temperature_max_f,0.028505422060502446,sklearn
cta_rail_rides,0.027298874051415144,sklearn
wind_chill_f,0.022383601021368958,sklearn
is_holiday,0.018210796312397918,sklearn
bus,0.017512591696652754,sklearn
traffic_roll7,0.0174775818946132,sklearn
temperature_min_f,0.014040504868658599,sklearn
cta_roll7,0.012008831865250818,sklearn
city_special_events,0.006407057717989507,sklearn
traffic_lag7,0.0033787032391431253,sklearn
crime_roll7,0.002792930377036842,sklearn
permit_count,0.0027742346185057336,sklearn
wind_speed_mph,0.0027699800203575017,sklearn
traffic_lag1,0.0025807100050343076,sklearn
bulls_home_game,0.002512219568611848,sklearn
cta_total_rides,0.0024236412491671295,sklearn
season_sin,0.001959449710835228,sklearn
day_of_month,0.001572340259048212,sklearn
crime_permit_ratio,0.0014513605195107498,sklearn
season_cos,0.0014145716485650152,sklearn
humidity_pct,0.0010665105341517267,sklearn
inspections_count,0.000374628321847119,sklearn
month,0.0003160517666634829,sklearn
cubs_home_game,0.00019554941816370624,sklearn
is_major_festival,0.00018339595886378068,sklearn
is_semimonthly_payday,6.951344973267928e-05,sklearn
is_rainy,5.845129159835076e-05,sklearn
is_month_end_payday,4.849452451552249e-05,sklearn
rainy_weekend,0.0,sklearn
weekend_payweek,0.0,sklearn
is_extreme_cold,0.0,sklearn
is_payweek,0.0,sklearn
business_longitude,0.0,sklearn
days_since_biweekly_payday,0.0,sklearn
ward,0.0,sklearn
license_number,0.0,sklearn
inspections_7d_count,0.0,sklearn
inspections_fail_count,0.0,sklearn
inspections_pass_count,0.0,sklearn
is_biweekly_payday,0.0,sklearn
bulls_home_games,0.0,sklearn
cubs_home_games,0.0,sklearn
business_latitude,0.0,sklearn
